latitude(y);longitude(x);hasPassenger;time;closest_intersection_x;closest_intersection_y;intersected_line_as_linestring;linestring_adjustment_visualization;path_time;path_as_linestring;path_length;air_line_length;path_length/air_line_length;velocity_m_s;pathIDs;solution_id;solution_index;path_from_target_to_source;comment
37.78844;-122.38817;0;1212794225;-122.38813228666136;37.7884491194793;LINESTRING (-122.3877948896048 37.78709723932077, -122.3879836971396 37.78718728583939, -122.3879670598572 37.78754912456158, -122.3879933145773 37.78792691457441, -122.388072253823 37.78820085544059, -122.3882064546944 37.78875583920016, -122.3883795682564 37.78910439230417, -122.3885196143662 37.78937224613019, -122.3884811873159 37.78957191881663);LINESTRING (-122.38817 37.78844, -122.3881322866614 37.7884491194793);60;LINESTRING (-122.3881322866614 37.7884491194793, -122.388072253823 37.78820085544059, -122.3879933145773 37.78792691457441, -122.3879670598572 37.78754912456158, -122.3879836971396 37.78718728583939, -122.3877948896048 37.78709723932077, -122.3880191830654 37.78699095875219, -122.3881438571184 37.78540903772674, -122.3881725774132 37.78485765487303, -122.3880233437285 37.78477361421237, -122.3881814549504 37.78465188987668);457.1454369940564;422.2547741085568;1.0826294100739513;7.619090616567607;['2947', '2945', '2943'];2947;0;0;
37.79068;-122.39007;0;1212794167;-122.39002055538062;37.7906772879427;LINESTRING (-122.3884811873159 37.78957191881663, -122.3886969252702 37.78958571603469, -122.3890549542146 37.78988094647422, -122.3896777717447 37.79037921874256, -122.3900218299108 37.79065405146519, -122.3900123464103 37.79082694901816);LINESTRING (-122.39007 37.79068, -122.3900205553806 37.7906772879427);58;LINESTRING (-122.3900205553806 37.7906772879427, -122.3900218299108 37.79065405146519, -122.3896777717447 37.79037921874256, -122.3890549542146 37.78988094647422, -122.3886969252702 37.78958571603469, -122.3884811873159 37.78957191881663, -122.3885196143662 37.78937224613019, -122.3883795682564 37.78910439230417, -122.3882064546944 37.78875583920016, -122.3881322866614 37.7884491194793);318.9844772742351;298.1911745120392;1.0697314492832395;5.499732366797156;['2949', '2947'];2949;0;0;
37.79293;-122.39173;0;1212794116;-122.39172572640194;37.792934974373935;LINESTRING (-122.3910961193341 37.79243604726101, -122.3912714304728 37.79249751874644, -122.3914029224789 37.79265764616401, -122.3919960981559 37.79316725691197, -122.3925216510629 37.7936394108024, -122.3924993295675 37.79376881406908);LINESTRING (-122.39173 37.79293, -122.3917257264019 37.79293497437394);51;LINESTRING (-122.3917257264019 37.79293497437394, -122.3914029224789 37.79265764616401, -122.3912714304728 37.79249751874644, -122.3910961193341 37.79243604726101, -122.3911592768215 37.79231763564589, -122.3910403246814 37.79192062955501, -122.3909067999333 37.79158814477575, -122.3907400545107 37.79132817751928, -122.3905077304749 37.79105342273698, -122.3901996043884 37.79078403456001, -122.3900123464103 37.79082694901816, -122.3900205553806 37.7906772879427);321.7398217391531;292.3581122876015;1.100499039420011;6.308623955669669;['2880', '2878', '2949'];2880;0;0;
37.79402;-122.39361;0;1212794050;-122.39358322312836;37.793985049135124;LINESTRING (-122.3938607690441 37.79377241315655, -122.3932637308999 37.79422982140095);LINESTRING (-122.39361 37.79402, -122.3935832231284 37.79398504913512);66;LINESTRING (-122.3935832231284 37.79398504913512, -122.3932637308999 37.79422982140095, -122.3929453517354 37.79402727354456, -122.3927017235076 37.7938186359722, -122.3924993295675 37.79376881406908, -122.3925216510629 37.7936394108024, -122.3919960981559 37.79316725691197, -122.3917257264019 37.79293497437394);244.7463099039678;200.6818027474182;1.2195740049834514;3.708277422787391;['1289', '2882', '2880'];1289;0;0;
37.79461;-122.39505;0;1212793980;-122.39490367934019;37.794424212525634;LINESTRING (-122.3947475791656 37.79447971819552, -122.3948599121907 37.79445868222395, -122.3962781315758 37.79334173504067, -122.3963020043291 37.79325634991905);LINESTRING (-122.39505 37.79461, -122.3949036793402 37.79442421252563);70;LINESTRING (-122.3949036793402 37.79442421252563, -122.3962781315758 37.79334173504067, -122.3963020043291 37.79325634991905, -122.3961942322403 37.79327459140586, -122.3955835535516 37.79375455854927, -122.3947745614257 37.7943903785302, -122.3947475791656 37.79447971819552, -122.3938607690441 37.79377241315655, -122.3935832231284 37.79398504913512);520.7511906936301;125.88356091731806;4.136768827469586;7.439302724194715;['7154', '7153', '7152', '3316', '1289'];7154;0;0;
37.79438;-122.39527;1;1212793979;-122.39515125656453;37.794229228106246;LINESTRING (-122.3947475791656 37.79447971819552, -122.3948599121907 37.79445868222395, -122.3962781315758 37.79334173504067, -122.3963020043291 37.79325634991905);LINESTRING (-122.39527 37.79438, -122.3951512565645 37.79422922810625);1;LINESTRING (-122.3951512565645 37.79422922810625, -122.3962781315758 37.79334173504067, -122.3963020043291 37.79325634991905, -122.3961942322403 37.79327459140586, -122.3955835535516 37.79375455854927, -122.3947745614257 37.7943903785302, -122.3947475791656 37.79447971819552, -122.3948599121907 37.79445868222395, -122.3949036793402 37.79442421252563);360.9298567128637;30.713500525975626;11.75150505581775;360.9298567128637;['7154', '7153', '7152'];7154;0;0;
37.79310285831458;-122.39647203503596;1;1212793933;-122.39647203503596;37.79310285831458;LINESTRING (-122.3963020043291 37.79325634991905, -122.3963258186328 37.79317116850262, -122.3963953741668 37.79311650089735, -122.396504486685 37.79309708321298);LINESTRING (-122.396472035036 37.79310285831458, -122.396472035036 37.79310285831458);46;LINESTRING (-122.396472035036 37.79310285831458, -122.3963953741668 37.79311650089735, -122.3963258186328 37.79317116850262, -122.3963020043291 37.79325634991905, -122.3961942322403 37.79327459140586, -122.3955835535516 37.79375455854927, -122.3947745614257 37.7943903785302, -122.3947475791656 37.79447971819552, -122.3948599121907 37.79445868222395, -122.3951512565645 37.79422922810625);267.34864523843805;170.74986019693873;1.5657327328413895;5.811927070400827;['7155', '7153', '7152', '7154'];7155;1;0;The source point of this path was reset as this leads to much shorter path lengths. Previous solution: (-122.39645479191957, 37.79320259892787) / New solution: (-122.39647203503596, 37.79310285831458). 
37.79298;-122.3973;1;1212793862;-122.39749256197763;37.79294074218014;LINESTRING (-122.397383445954 37.79240552149346, -122.3976083325653 37.79350860390521);LINESTRING (-122.3973 37.79298, -122.3974925619776 37.79294074218014);71;LINESTRING (-122.3974925619776 37.79294074218014, -122.397383445954 37.79240552149346, -122.3972771313229 37.79242345486097, -122.3965268431046 37.79301316976778, -122.396504486685 37.79309708321298, -122.396472035036 37.79310285831458);175.27741248219067;91.4671579533437;1.916287948638325;2.4686959504533896;['11664', '7071', '7155'];11664;0;0;The target point of this path was reset as this leads to much shorter path lengths.
37.79253;-122.40129;1;1212793803;-122.40102941793265;37.7925829049006;LINESTRING (-122.4009330817048 37.79210840266855, -122.4011263416762 37.79306030092976);LINESTRING (-122.40129 37.79253, -122.4010294179326 37.7925829049006);59;LINESTRING (-122.4010294179326 37.7925829049006, -122.4011263416762 37.79306030092976, -122.3999587358503 37.79320910184505, -122.3987816473204 37.79335910003837, -122.3976083325653 37.79350860390521, -122.3974925619776 37.79294074218014);430.8385966182325;313.31975144133935;1.3750764024172775;7.3023490952242796;['4050', '12784', '12783', '12782', '11664'];4050;0;0;
37.79298;-122.40344;1;1212793741;-122.40341340482846;37.79276951716333;LINESTRING (-122.4027667696724 37.79285122155868, -122.4038279993815 37.79271713183141);LINESTRING (-122.40344 37.79298, -122.4034134048285 37.79276951716333);62;LINESTRING (-122.4034134048285 37.79276951716333, -122.4027667696724 37.79285122155868, -122.4019577559424 37.79295433708274, -122.4011263416762 37.79306030092976, -122.4010294179326 37.7925829049006);257.31087970532593;210.5059984607369;1.222344643795597;4.15017547911816;['12787', '12786', '12785', '4050'];12787;0;0;
37.79259;-122.40371;0;1212793740;-122.40372766535354;37.792729809352906;LINESTRING (-122.4027667696724 37.79285122155868, -122.4038279993815 37.79271713183141);LINESTRING (-122.40371 37.79259, -122.4037276653535 37.79272980935291);1;LINESTRING (-122.4037276653535 37.79272980935291, -122.4034134048285 37.79276951716333);27.96478786001293;27.96478786001293;1.0;27.96478786001293;['12787'];12787;0;0;
37.79253;-122.40378;1;1212793713;-122.40380402741361;37.792720160765306;LINESTRING (-122.4027667696724 37.79285122155868, -122.4038279993815 37.79271713183141);LINESTRING (-122.40378 37.79253, -122.4038040274136 37.79272016076531);27;LINESTRING (-122.4038040274136 37.79272016076531, -122.4037276653535 37.79272980935291);6.795156678793847;6.795156678793847;1.0;0.2516724695849573;['12787'];12787;0;0;
37.79145;-122.40421;1;1212793656;-122.40417248852373;37.7914576237746;LINESTRING (-122.4040307240193 37.79076009582759, -122.404219834933 37.79169058366668);LINESTRING (-122.40421 37.79145, -122.4041724885237 37.7914576237746);57;LINESTRING (-122.4041724885237 37.7914576237746, -122.404219834933 37.79169058366668, -122.4044184277999 37.79263865652553, -122.4038279993815 37.79271713183141, -122.4038040274136 37.79272016076531);187.8341541890746;144.07280471376322;1.3037446904865515;3.295336038404818;['8237', '8238', '12788', '12787'];8237;0;0;
37.79066;-122.40424;1;1212793591;-122.40424915675298;37.790732512532394;LINESTRING (-122.4040307240193 37.79076009582759, -122.4043329229142 37.79072193469128);LINESTRING (-122.40424 37.79066, -122.404249156753 37.79073251253239);65;LINESTRING (-122.404249156753 37.79073251253239, -122.4040307240193 37.79076009582759, -122.4041724885237 37.7914576237746);97.99324469764174;80.90965783748433;1.2111439760933314;1.507588379963719;['12863', '8237'];12863;0;0;
37.79005;-122.40898;1;1212793541;-122.40899056995097;37.79013367189083;LINESTRING (-122.4087861066072 37.79015950096554, -122.4104332457771 37.78995142415381);LINESTRING (-122.40898 37.79005, -122.408990569951 37.79013367189083);50;LINESTRING (-122.408990569951 37.79013367189083, -122.4087861066072 37.79015950096554, -122.407970426091 37.79026253470997, -122.4078689378853 37.79027535373596, -122.4075004952615 37.79032189098725, -122.4071317160077 37.79036847037526, -122.4063309466332 37.79046960771168, -122.405573745251 37.79056523742171, -122.4047672903421 37.7906670822946, -122.4043998863775 37.79071347855979, -122.4043329229142 37.79072193469128, -122.404249156753 37.79073251253239);421.9278838054552;421.9278838047911;1.000000000001574;8.438557676109104;['12873', '12872', '12871', '12870', '12869', '12868', '12867', '12866', '12865', '12864', '12863'];12873;0;0;
37.78947;-122.41393;1;1212793472;-122.41393421663201;37.78950308459942;LINESTRING (-122.4137283884126 37.78952931740492, -122.4153719225433 37.78931984898848);LINESTRING (-122.41393 37.78947, -122.413934216632 37.78950308459942);69;LINESTRING (-122.413934216632 37.78950308459942, -122.4137283884126 37.78952931740492, -122.4120758679122 37.78973990702878, -122.4104332457771 37.78995142415381, -122.408990569951 37.79013367189083);440.0374811296307;440.0371711110039;1.0000007045282697;6.377354798980155;['12876', '12875', '12874', '12873'];12876;0;0;
